,fips,county,st,pred_diff
11527,18049,Fulton,IN,3.4
11543,18051,Gibson,IN,-2.0
11559,18053,Grant,IN,2.0
11575,18055,Greene,IN,7.0
11591,19171,Tama,IA,2.0
11607,18057,Hamilton,IN,-4.4
11623,18059,Hancock,IN,2.0
11639,18061,Harrison,IN,-2.2
11655,18063,Hendricks,IN,-3.6
11671,18065,Henry,IN,4.2
11687,18067,Howard,IN,9.6
11703,18069,Huntington,IN,4.0
11719,18071,Jackson,IN,-1.4
11735,18073,Jasper,IN,-2.6
11751,18075,Jay,IN,2.8
11767,18077,Jefferson,IN,-2.4
11783,18079,Jennings,IN,4.0
11799,18081,Johnson,IN,-0.6
11815,18083,Knox,IN,2.2
11831,18085,Kosciusko,IN,2.4
11847,18087,Lagrange,IN,-9.8
11863,18089,Lake,IN,-7.4
11879,18091,La Porte,IN,2.0
11895,18093,Lawrence,IN,6.0
11911,18095,Madison,IN,4.8
11927,18097,Marion,IN,1.0
11943,18099,Marshall,IN,-0.6
11959,18101,Martin,IN,-1.8
11975,18103,Miami,IN,-2.8
11991,18105,Monroe,IN,-2.2
12007,18107,Montgomery,IN,8.4
12023,18109,Morgan,IN,4.0
12039,18111,Newton,IN,3.4
12055,18113,Noble,IN,-2.6
12071,18115,Ohio,IN,8.0
12087,18117,Orange,IN,0.2
12103,18119,Owen,IN,2.4
12119,18121,Parke,IN,-2.4
12135,18123,Perry,IN,2.8
12151,18125,Pike,IN,-0.6
12167,18127,Porter,IN,3.0
12183,18129,Posey,IN,-4.2
12199,18131,Pulaski,IN,7.0
12215,18133,Putnam,IN,0.4
12231,18135,Randolph,IN,2.0
